Search term,Match type,Campaign,Ad group,Impressions,Clicks,CTR,Avg. CPC,Cost,Conversions,Conv. value
mua phần mềm kế toán,Phrase match,Non-Brand - Core,Phần mềm,1240,87,7.02%,38000,3306000,5,25000000
phần mềm kế toán online,Exact match,Non-Brand - Core,Phần mềm,920,78,8.48%,45000,3510000,7,35000000
phần mềm kế toán cho doanh nghiệp vừa và nhỏ,Phrase match,Non-Brand - Core,Phần mềm,680,52,7.65%,42000,2184000,3,15000000
mua phần mềm kế toán chính hãng,Phrase match,Non-Brand - Core,Phần mềm,340,29,8.53%,52000,1508000,4,20000000
phần mềm kế toán vnpt giá bao nhiêu,Broad match,Non-Brand - Competitor,Competitor,2400,62,2.58%,32000,1984000,2,10000000
misa smebook mua ở đâu,Broad match,Non-Brand - Competitor,Competitor,1800,48,2.67%,28000,1344000,1,5000000
fast accounting phần mềm,Broad match,Non-Brand - Competitor,Competitor,980,31,3.16%,25000,775000,2,10000000
phần mềm quản lý bán hàng pos,Phrase match,Product - Category A,POS,560,38,6.79%,35000,1330000,1,5000000
phần mềm kế toán tốt nhất,Phrase match,Non-Brand - Core,Phần mềm,2100,148,7.05%,14000,2072000,0,0
phần mềm kế toán uy tín,Phrase match,Non-Brand - Core,Phần mềm,1500,92,6.13%,13000,1196000,0,0
phần mềm kế toán đơn giản,Phrase match,Non-Brand - Core,Phần mềm,2200,132,6.00%,11000,1452000,0,0
phần mềm kế toán dùng thử,Exact match,Non-Brand - Core,Phần mềm,980,68,6.94%,12000,816000,0,0
quản lý hàng tồn kho phần mềm,Phrase match,Product - Category A,Kho,1400,84,6.00%,10000,840000,0,0
phần mềm kế toán cho startup,Phrase match,Non-Brand - Core,SME,860,52,6.05%,13000,676000,0,0
phần mềm hóa đơn điện tử mới nhất,Phrase match,Product - Category A,Hóa đơn,740,45,6.08%,11000,495000,0,0
phần mềm kế toán mới nhất 2024,Phrase match,Non-Brand - Core,Phần mềm,1800,108,6.00%,9000,972000,0,0
phần mềm kế toán cloud,Phrase match,Non-Brand - Core,Cloud,1200,72,6.00%,12000,864000,0,0
phần mềm kế toán cho hộ kinh doanh,Phrase match,Non-Brand - Core,SME,950,60,6.32%,8000,480000,0,0
báo cáo thuế tự động,Phrase match,Product - Category A,Tax,760,48,6.32%,10000,480000,0,0
phần mềm kế toán sản xuất,Phrase match,Product - Category A,Manufacturing,680,42,6.18%,14000,588000,0,0
phần mềm kế toán miễn phí download,Broad match,Non-Brand - Core,Phần mềm,6200,28,0.45%,3000,84000,0,0
học kế toán online miễn phí,Broad match,Non-Brand - Core,Học,12000,48,0.40%,2000,96000,0,0
mẫu báo cáo tài chính excel,Broad match,Non-Brand - Core,Template,9800,38,0.39%,1500,57000,0,0
hướng dẫn làm kế toán cho người mới,Broad match,Non-Brand - Core,Hướng dẫn,15000,52,0.35%,1000,52000,0,0
phần mềm kế toán là gì,Broad match,Non-Brand - Core,Định nghĩa,11000,33,0.30%,800,26400,0,0
tài liệu kế toán miễn phí,Broad match,Non-Brand - Core,Tài liệu,13500,40,0.30%,700,28000,0,0
cách học kế toán,Broad match,Non-Brand - Core,Học,18000,45,0.25%,500,22500,0,0
kế toán là gì,Broad match,Non-Brand - Core,Định nghĩa,22000,44,0.20%,400,17600,0,0
phần mềm kế toán cao cấp doanh nghiệp lớn,Broad match,Non-Brand - Core,Enterprise,3200,18,0.56%,120000,2160000,0,0
phần mềm erp tích hợp kế toán,Broad match,Product - Category B,ERP,2800,14,0.50%,135000,1890000,0,0
giải pháp kế toán doanh nghiệp lớn,Broad match,Product - Category B,Enterprise,2100,10,0.48%,150000,1500000,0,0
phần mềm kế toán outsource cao cấp,Broad match,Non-Brand - Core,Outsource,1600,8,0.50%,180000,1440000,0,0
tư vấn triển khai phần mềm kế toán,Broad match,Non-Brand - Core,Consulting,1200,6,0.50%,200000,1200000,0,0
phần mềm kế toán excel free,Broad match,Non-Brand - Core,Free,5500,75,1.36%,5000,375000,0,0
phần mềm quản lý nhân sự,Broad match,Product - Category B,HR,4800,48,1.00%,8000,384000,0,0
ứng dụng kế toán android,Broad match,Non-Brand - Core,Mobile,3200,32,1.00%,6000,192000,0,0
kế toán thuế doanh nghiệp,Broad match,Non-Brand - Core,Thuế,5600,44,0.79%,7000,308000,0,0
phần mềm crm là gì,Broad match,Product - Category B,CRM,8900,62,0.70%,3000,186000,0,0
phần mềm erp doanh nghiệp vừa,Broad match,Product - Category B,ERP,7200,50,0.69%,9000,450000,0,0
phần mềm kế toán nhà hàng quán ăn,Phrase match,Product - Category A,Restaurant,360,22,6.11%,13000,286000,0,0
